trade_date,trade_type,reason,rank_final,buy_imp,T+,ts_code,name,buyout_price,today_open,today_close,sold_price,pct_chg,comp_chg,shares,value_open,value_close,port_cash
20200102,,,,,,,,,,,,,,,,,
20200103,buy,,77248.0,0.0,0.0,002850.SZ,科达利,44.9599739243807,44.9599739243807,45.32998696219035,,1.008229832126504,1.008229832126504,111.0,4990.557105606257,5031.6285528031285,5009.442894393743
20200103,buy,,77789.0,0.0,0.0,600885.SH,宏发股份,34.38,34.38,34.470012706480304,,1.0026181706364252,1.0026181706364252,145.0,4985.1,4998.1518424396445,24.342894393742426
20200106,sell,> T+1,77248.0,0.0,1.0,002850.SZ,科达利,44.9599739243807,46.800000000000004,,46.800000000000004,1.0324291520100324,1.0409258706135838,111.0,5194.8,,5219.142894393743
20200106,sell,> T+1,77789.0,0.0,1.0,600885.SH,宏发股份,34.38,35.17001270648031,,35.17001270648031,1.020307506294258,1.022978845447362,145.0,5099.6518424396445,,10318.794736833388
20200106,buy,,68764.0,0.0,0.0,300707.SZ,威唐工业,18.01001984126984,18.01001984126984,20.05,,1.113269178863177,1.113269178863177,286.0,5150.865674603175,5734.3,5167.929062230213
20200106,buy,,69209.0,0.0,0.0,300004.SZ,南风股份,6.53001226993865,6.53001226993865,6.83001226993865,,1.0459417207194341,1.0459417207194341,790.0,5158.709693251533,5395.709693251533,9.219368978679995
20200107,sell,> T+1,68764.0,0.0,1.0,300707.SZ,威唐工业,18.01001984126984,20.95,,20.95,1.0448877805486283,1.163241361455539,286.0,5991.7,,6000.91936897868
20200107,sell,> T+1,69209.0,0.0,1.0,300004.SZ,南风股份,6.53001226993865,6.79001226993865,,6.79001226993865,0.994143495147724,1.039816157956843,790.0,5364.109693251534,,11365.029062230213
20200107,buy,,67087.0,1.0,0.0,600289.SH,*ST信通,3.730006788866259,3.730006788866259,3.730006788866259,,1.0,1.0,1523.0,5680.800339443313,5680.800339443313,5684.2287227869
20200107,buy,,67943.5,0.0,0.0,000829.SZ,天音控股,6.610002696144513,6.610002696144513,6.680001348072256,,1.0105898068647645,1.0105898068647645,859.0,5677.992315988137,5738.121157994068,6.2364067987628005
20200108,sell,> T+1,67087.0,1.0,1.0,600289.SH,*ST信通,3.730006788866259,3.730006788866259,,3.730006788866259,1.0,1.0,1523.0,5680.800339443313,,5687.036746242075
20200108,sell,> T+1,67943.5,0.0,1.0,000829.SZ,天音控股,6.610002696144513,6.6,,6.6,0.9880237527054776,0.9984867334244284,859.0,5669.4,,11356.436746242074
20200108,buy,,66281.0,0.0,0.0,300750.SZ,宁德时代,109.00998003992015,109.00998003992015,109.6,,1.0054125315853077,1.0054125315853077,52.0,5668.518962075848,5699.2,5687.917784166226
20200108,buy,,66876.0,0.0,0.0,002715.SZ,登云股份,18.360019940179463,18.360019940179463,18.96999002991027,,1.033222735689733,1.033222735689733,309.0,5673.246161515454,5861.726919242274,14.671622650771496
20200109,sell,> T+1,66281.0,0.0,1.0,300750.SZ,宁德时代,109.00998003992015,112.0,,112.0,1.0218978102189782,1.0274288643937453,52.0,5824.0,,5838.6716226507715
20200109,sell,> T+1,66876.0,0.0,1.0,002715.SZ,登云股份,18.360019940179463,18.93998005982054,,18.93998005982054,0.9984180292112746,1.031588207503625,309.0,5852.453838484547,,11691.125461135318
20200109,buy,,50989.0,0.0,0.0,300489.SZ,中飞股份,20.4,20.4,22.32999501743896,,1.094607598894067,1.094607598894067,286.0,5834.4,6386.378574987542,5856.725461135318
20200109,buy,,51026.0,0.0,0.0,600966.SH,博汇纸业,5.590004320898747,5.590004320898747,5.739997119400836,,1.026832322461957,1.026832322461957,1045.0,5841.55451533919,5998.296989773873,15.170945796127853
20200110,sell,> T+1,50989.0,0.0,1.0,300489.SZ,中飞股份,20.4,22.98998505231689,,22.98998505231689,1.0295562105751703,1.1269600515841613,286.0,6575.135724962631,,6590.306670758759
20200110,sell,> T+1,51026.0,0.0,1.0,600966.SH,博汇纸业,5.590004320898747,5.749992798502088,,5.749992798502088,1.0017414083828489,1.0286204568760724,1045.0,6008.742474434682,,12599.04914519344
20200110,buy,,64887.0,0.0,0.0,000529.SZ,广弘控股,6.860006404098622,6.860006404098622,7.130003202049311,,1.0393580970696141,1.0393580970696141,918.0,6297.485878962535,6545.342939481267,6301.563266230904
20200110,buy,,65218.0,0.0,0.0,002810.SZ,山东赫达,18.890025706940875,18.890025706940875,19.08,,1.0100568573069395,1.0100568573069395,333.0,6290.378560411312,6353.639999999999,11.184705819592637
20200113,sell,> T+1,64887.0,0.0,1.0,000529.SZ,广弘控股,6.860006404098622,7.079987191802753,,7.079987191802753,0.9929851349530696,1.0320671402832364,918.0,6499.428242074928,,6510.61294789452
20200113,sell,> T+1,65218.0,0.0,1.0,002810.SZ,山东赫达,18.890025706940875,19.149974293059124,,19.149974293059124,1.0036674157787802,1.013761155762892,333.0,6376.941439588688,,12887.554387483207
20200113,buy,,59390.0,0.0,0.0,000100.SZ,TCL科技,4.6700064641241115,4.6700064641241115,4.770006464124111,,1.0214132465914596,1.0214132465914596,1379.0,6439.93891402715,6577.838914027149,6447.615473456058
20200113,buy,,59559.0,0.0,0.0,300010.SZ,立思辰,12.6,12.6,13.100000000000001,,1.0396825396825398,1.0396825396825398,511.0,6438.599999999999,6694.1,9.015473456058317
