cargs,deri,fgain240,fgain240_o0,fgain240_o1,fgain240_o2,fgain240_o3,"fgain240_p(0, 0.18)","fgain240_p(0.18, 0.5)","fgain240_p(0.5, 0.82)","fgain240_p(0.82, 1)",fgain240_pearson,fgain240_trend100,fgain240_trend101,fgain240_trend20,fgain240_trend200,fgain240_trend201,fgain240_trend21,fgain240_trend2400,fgain240_trend2401,fgain240_trend50,fgain240_trend51,fgain240_trend600,fgain240_trend601,ibase,ts_code
"{'ffreq': '10', 'sfreq': '10'}",apo,1.2271392781158317,1.0014968819333898,,1.0014968819333898,,1.0014968819333898,1.0014968819333898,1.0014968819333898,1.0014968819333898,,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
"{'ffreq': '10', 'sfreq': '2'}",apo,1.2271392781158317,1.0300928656681188,0.8487425939423447,0.70069859403214,0.6886614655936678,0.8700243169128044,1.0670594483819067,1.0917694367736177,0.8490505842494073,-0.05821197638887693,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
"{'ffreq': '10', 'sfreq': '5'}",apo,1.2271392781158317,1.0285981255944874,0.8500001758103124,0.7161957833769353,0.7023037768321054,0.8664970667725642,1.072604293424191,1.0882892675957299,0.8500914734264057,-0.05445882944083967,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
"{'ffreq': '2', 'sfreq': '10'}",apo,1.2271392781158317,1.0300928656681188,0.8487425939423447,0.70069859403214,0.6886614655936678,0.8700243169128044,1.0670594483819067,1.0917694367736177,0.8490505842494073,-0.05821197638887693,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
"{'ffreq': '2', 'sfreq': '2'}",apo,1.2271392781158317,1.000020408254308,,1.000020408254308,,1.000020408254308,1.000020408254308,1.000020408254308,1.000020408254308,,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
"{'ffreq': '2', 'sfreq': '5'}",apo,1.2271392781158317,1.0304395102993755,0.8608142691605688,0.7085277090353895,0.6793674347706601,0.8656875901725857,1.0682394988684016,1.0861250759161978,0.8624111499000894,-0.04915744577017211,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
"{'ffreq': '5', 'sfreq': '10'}",apo,1.2271392781158317,1.0285981255944874,0.8500001758103124,0.7161957833769353,0.7023037768321054,0.8664970667725642,1.072604293424191,1.0882892675957299,0.8500914734264057,-0.05445882944083967,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
"{'ffreq': '5', 'sfreq': '2'}",apo,1.2271392781158317,1.0304395102993755,0.8608142691605688,0.7085277090353895,0.6793674347706601,0.8656875901725857,1.0682394988684016,1.0861250759161978,0.8624111499000894,-0.04915744577017211,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
"{'ffreq': '5', 'sfreq': '5'}",apo,1.2271392781158317,1.0004036713395907,,1.0004036713395907,,1.0004036713395907,1.0004036713395907,1.0004036713395907,1.0004036713395907,,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
"{'ffreq': '10', 'sfreq': '10'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
"{'ffreq': '10', 'sfreq': '2'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
"{'ffreq': '10', 'sfreq': '5'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
"{'ffreq': '2', 'sfreq': '10'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
"{'ffreq': '2', 'sfreq': '2'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
"{'ffreq': '2', 'sfreq': '5'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
"{'ffreq': '5', 'sfreq': '10'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
"{'ffreq': '5', 'sfreq': '2'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
"{'ffreq': '5', 'sfreq': '5'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
{'freq': '10'},mom,1.2271392781158317,1.0280858459878797,0.8415844939249054,0.6813337751049025,0.7415459614453442,0.8620886450636642,1.072860232140335,1.0935501137986716,0.8458441412152904,-0.0620702726316413,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
{'freq': '2'},mom,1.2271392781158317,1.0266092971848986,0.881423274036292,0.7158725874976932,0.6298922799964648,0.8650065025958276,1.0653505521897317,1.0853155906851308,0.8643748330788074,-0.029843764163617063,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
