cargs,deri,fgain240,fgain240_o0,fgain240_o1,fgain240_o2,fgain240_o3,"fgain240_p(0, 0.18)","fgain240_p(0.18, 0.5)","fgain240_p(0.5, 0.82)","fgain240_p(0.82, 1)",fgain240_pearson,fgain240_trend100,fgain240_trend101,fgain240_trend20,fgain240_trend200,fgain240_trend201,fgain240_trend21,fgain240_trend2400,fgain240_trend2401,fgain240_trend50,fgain240_trend51,fgain240_trend600,fgain240_trend601,ibase,ts_code
{'freq': '20'},mom,1.2271392781158317,1.0385785204097675,0.8467016488770859,0.6896804402995629,0.7554787057437671,0.8615800952228397,1.0710638407482493,1.1048127743721412,0.8246296879538721,-0.07546648561548328,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
{'freq': '240'},mom,1.2271392781158317,1.0616553705148666,0.9052229691245786,0.8377650389821915,0.716734314458704,0.9769276493044614,1.012808476729192,1.1665050544690243,0.6947881917172767,-0.19221005499221047,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
{'freq': '5'},mom,1.2271392781158317,1.0297801552444605,0.8381776920178292,0.7061237069967031,0.6453784068522516,0.8641256576338986,1.0701292378459473,1.085761969777142,0.8532675461733139,-0.06056297820757146,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
{'freq': '60'},mom,1.2271392781158317,1.0395161397912647,0.9158505556612818,0.6951784014156739,0.7587582771200805,0.873033801930708,1.0542550360908003,1.1251102325585163,0.8026145077339412,-0.05517329772254811,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
{'freq': '10'},rocr,1.2271392781158317,1.0040716199856878,0.9921845413836641,1.0030328262723118,0.9555872495887687,0.9709579400237042,1.0009745963381091,1.0217500404748106,0.9957121785279195,-0.04334157068371779,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
{'freq': '2'},rocr,1.2271392781158317,0.9965943461587545,1.0113815843913867,1.0029846308885868,0.9709323026186533,0.9855686462398559,0.9953473855423803,1.0150137258879395,0.9985906004651757,-0.022819684800985337,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
{'freq': '20'},rocr,1.2271392781158317,1.0149257173756143,0.9766507826708622,1.0029445685289449,0.8937555849863394,0.962532162335843,1.001418107490648,1.0340305997632562,0.9792340049877688,-0.051716507689726514,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
{'freq': '240'},rocr,1.2271392781158317,1.015218647022351,0.9842522212436693,0.7497716843985375,0.5787161921482661,1.0393242616279237,0.9554236545519126,1.0897734647581092,0.8819280205739977,-0.16595096101849222,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
{'freq': '5'},rocr,1.2271392781158317,1.0025661919044297,0.9878898349015128,0.9785938000437967,1.0234410476242295,0.9848563163106392,0.9943763553997611,1.0171034862524302,0.9968361600120113,-0.04895278111813262,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
{'freq': '60'},rocr,1.2271392781158317,1.0047991800226548,0.9719018443297863,0.9811456299731351,0.82926233420978,0.9481819108808646,0.9926894968917618,1.0463053986750823,0.9901915193717762,-0.023580008399975243,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
{'freq': '10'},rsi,1.2271392781158317,0.9957995487420878,1.0149785096564108,0.9667884702744235,0.997387545012366,0.9553589189462424,0.9982248774694169,1.019950972203154,1.015375314372301,-0.022807233895076332,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
{'freq': '2'},rsi,1.2271392781158317,1.00523215507825,0.9958133418780061,0.9965998574373441,1.001485317417647,0.9764525664478247,0.9963953520774159,1.0026063967628773,1.0251383075376905,-0.0009690069853567184,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
{'freq': '20'},rsi,1.2271392781158317,0.9859507402695888,1.0306133957443604,0.9388647702787997,1.0304128730954003,0.9473326136995379,0.9928318378751649,1.0235933554512122,1.0183419829676859,-0.03373990622979238,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
{'freq': '240'},rsi,1.2271392781158317,1.028674459681938,0.9964650448480018,0.904047061608766,0.681656430342808,1.1246144409041252,0.980204384436713,0.9559566715539173,0.9271445346797201,-0.14503941353017227,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
{'freq': '5'},rsi,1.2271392781158317,1.0062332601736435,1.00009086945467,1.000447758933764,0.97943256621227,0.9656297836384601,1.000034666771942,1.0029672255361417,1.029615941595041,-0.025420308363621396,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
{'freq': '60'},rsi,1.2271392781158317,0.9966046961555203,0.9721822333010108,1.063505561706845,0.9438001989450016,0.9650073423395386,0.9530138001203539,1.0515176155972967,1.0196867850813158,-0.02523467824403437,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,close,
"{'ffreq': '10', 'sfreq': '10'}",apo,1.2271392781158317,1.0015062259418668,,1.0015062259418668,,1.0015062259418668,1.0015062259418668,1.0015062259418668,1.0015062259418668,,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
"{'ffreq': '10', 'sfreq': '2'}",apo,1.2271392781158317,1.0017345719500514,1.0158947567678878,0.861266122575843,0.8636577266355537,0.976986777674723,0.9905228141456902,0.9781946792148543,1.0101704351238208,0.009722052085016345,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
"{'ffreq': '10', 'sfreq': '5'}",apo,1.2271392781158317,1.0018262646710276,0.9952208205613888,0.909593900002652,0.8188106910003353,1.0148907933305533,1.0077713455198265,0.974302992901988,1.0204537864874834,0.009865142813903927,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
"{'ffreq': '2', 'sfreq': '10'}",apo,1.2271392781158317,1.0017345719500514,1.0158947567678878,0.861266122575843,0.8636577266355537,0.976986777674723,0.9905228141456902,0.9781946792148543,1.0101704351238208,0.009722052085016345,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
"{'ffreq': '2', 'sfreq': '2'}",apo,1.2271392781158317,1.000375490552128,,1.000375490552128,,1.000375490552128,1.000375490552128,1.000375490552128,1.000375490552128,,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
"{'ffreq': '2', 'sfreq': '5'}",apo,1.2271392781158317,1.0008892306058172,1.0140250182602604,0.9046997895950357,0.8029062373923733,0.9413450149133422,0.9677273198441111,1.0142192682573137,1.0676312287056853,0.005050717371924214,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
"{'ffreq': '5', 'sfreq': '10'}",apo,1.2271392781158317,1.0018262646710276,0.9952208205613888,0.909593900002652,0.8188106910003353,1.0148907933305533,1.0077713455198265,0.974302992901988,1.0204537864874834,0.009865142813903927,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
"{'ffreq': '5', 'sfreq': '2'}",apo,1.2271392781158317,1.0008892306058172,1.0140250182602604,0.9046997895950357,0.8029062373923733,0.9413450149133422,0.9677273198441111,1.0142192682573137,1.0676312287056853,0.005050717371924214,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
"{'ffreq': '5', 'sfreq': '5'}",apo,1.2271392781158317,1.000793759021276,,1.000793759021276,,1.000793759021276,1.000793759021276,1.000793759021276,1.000793759021276,,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
"{'ffreq': '10', 'sfreq': '10'}",cmo,,,,,,,,,,,,,,,,,,,,,,,debt_to_assets,
"{'ffreq': '10', 'sfreq': '2'}",cmo,,,,,,,,,,,,,,,,,,,,,,,debt_to_assets,
"{'ffreq': '10', 'sfreq': '5'}",cmo,,,,,,,,,,,,,,,,,,,,,,,debt_to_assets,
"{'ffreq': '2', 'sfreq': '10'}",cmo,,,,,,,,,,,,,,,,,,,,,,,debt_to_assets,
"{'ffreq': '2', 'sfreq': '2'}",cmo,,,,,,,,,,,,,,,,,,,,,,,debt_to_assets,
"{'ffreq': '2', 'sfreq': '5'}",cmo,,,,,,,,,,,,,,,,,,,,,,,debt_to_assets,
"{'ffreq': '5', 'sfreq': '10'}",cmo,,,,,,,,,,,,,,,,,,,,,,,debt_to_assets,
"{'ffreq': '5', 'sfreq': '2'}",cmo,,,,,,,,,,,,,,,,,,,,,,,debt_to_assets,
"{'ffreq': '5', 'sfreq': '5'}",cmo,,,,,,,,,,,,,,,,,,,,,,,debt_to_assets,
{'freq': '10'},mom,1.2271392781158317,1.0019107394964086,0.9729792573380678,0.9455796723070209,0.8929887732995947,1.0007343235548565,1.000307708816025,1.000307708816025,1.0012787006434922,0.010241753506788739,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
{'freq': '2'},mom,1.2271392781158317,1.0004837991628561,0.9871444894207495,0.9296391329622029,0.8890022920537644,1.0002917582511068,1.0000953182391195,1.0000953182391195,1.0003339004607628,0.003307025630288507,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
{'freq': '20'},mom,1.2271392781158317,1.0035879953517548,0.9796998258490703,0.9512914407598789,0.8937928904031153,1.001570571442778,1.000487347733673,1.000487347733673,1.0020764997807103,0.01495898844126009,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
{'freq': '240'},mom,1.2271392781158317,1.0629747965042846,0.9883531146053717,0.9233280683106263,0.8445577195191969,0.9673944467335619,1.0025319106112769,1.0347436236985843,1.0375624727067623,0.0323994544287093,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
{'freq': '5'},mom,1.2271392781158317,1.0010174888371672,0.9781204469995733,0.9321196915031178,0.8858481804957685,1.0004518753193814,1.0001794561286925,1.0001794561286925,1.0006891507139364,0.006965801849047336,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
{'freq': '60'},mom,1.2271392781158317,1.0148575099180386,0.9843302961074696,0.9080020385823515,0.8973501771246831,0.9970756405352409,1.0139421726665965,1.0020940883302052,0.9967754559832958,0.01854706815056332,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
{'freq': '10'},rocr,1.2271392781158317,1.0006224144655147,1.0320233108703185,0.9888226664988155,0.9076358505799196,1.0007343235548565,1.000307708816025,1.000307708816025,1.0012787006434922,0.012762472848616207,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
{'freq': '2'},rocr,1.2271392781158317,1.0002541591459198,1.042424875227542,0.9613054608345387,0.9328012033882253,1.0002917582511068,1.0000953182391195,1.0000953182391195,1.0003339004607628,0.00450408285509699,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
{'freq': '20'},rocr,1.2271392781158317,1.0009355359457512,1.0340757849284172,1.0040266000384677,0.8828377373254047,1.001570571442778,1.000487347733673,1.000487347733673,1.0020764997807103,0.017545249380915548,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
{'freq': '240'},rocr,1.2271392781158317,1.026317113616391,0.9943189764739951,0.9172782471532859,0.942376077656135,0.9856600651088048,0.9947230743837084,1.035796212823129,1.065362263699099,0.03903641000235907,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
{'freq': '5'},rocr,1.2271392781158317,1.0004112995955579,1.03464295770889,0.9691893216762688,0.9206572381349357,1.0004518753193814,1.0001794561286925,1.0001794561286925,1.0006891507139364,0.008679611238015573,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
{'freq': '60'},rocr,1.2271392781158317,1.004132771205912,1.0150793811665497,0.9833352744408412,0.9197626447094014,0.999931599612567,1.0124884430800962,0.9957551168123193,1.0206723593494242,0.02150165980599094,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
{'freq': '10'},rsi,1.2271392781158317,0.9935813133239831,1.008403031028957,0.8336985495199868,,0.9515968823650764,0.9824136872048695,1.0204373718517292,1.0673612597221058,-0.0114591254855833,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
{'freq': '2'},rsi,1.2271392781158317,0.9984016883597816,1.0048108254405341,1.0021674566652896,,0.9989776813083213,0.9989776813083213,0.9968851206579457,1.0068511256805526,0.009658443025239105,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
{'freq': '20'},rsi,1.2271392781158317,0.9903102298003383,1.043828823532634,1.1224266854878449,0.8479003005983571,1.0078902238385565,1.0082807964763076,0.9719629365294652,1.0908346229990011,-0.04609753908159468,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
{'freq': '240'},rsi,1.2271392781158317,0.933890169863916,1.0324787345387665,1.0133056229705348,1.0601761404675762,0.9854070221473786,0.9488149240653438,1.0139642517800027,1.1161725492619086,0.07957708396380617,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
{'freq': '5'},rsi,1.2271392781158317,0.9990560729304422,0.997132520259472,1.0041477971624455,,0.994300821610631,0.9954399497686818,0.9914061744641474,1.0495758623702418,0.0012268692831703051,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
{'freq': '60'},rsi,1.2271392781158317,1.0336274736100295,0.9590459970115597,1.027328396167567,1.0408557148360915,1.0195342474486557,0.9682965928403391,1.0153363408881606,1.0937751522370385,0.039287228111008286,0.9270083230165472,1.070393154236015,0.9764739907389192,0.9001357172405351,1.0936775512468306,1.0232522519381062,0.8587904705787398,1.1243101201263042,0.9527402848015158,1.0453215386095982,0.8720018457873528,1.1242410862946677,debt_to_assets,
"{'ffreq': '10', 'sfreq': '10'}",apo,1.2163417159466217,1.0941524764171757,,1.0941524764171757,,1.0941524764171757,1.0941524764171757,1.0941524764171757,1.0941524764171757,,0.9294694599435697,1.068519291307479,0.9773902561593819,0.9022854064311278,1.091511068066646,1.0225692893091936,0.8551485580058799,1.1266172800229923,0.95629367515548,1.0422944836114854,0.8707428929693929,1.1252838043158848,dv_ttm,
"{'ffreq': '10', 'sfreq': '2'}",apo,1.2163417159466217,1.0950099502618167,1.1262075519148989,1.0931448066371845,1.1375228368905692,1.1055647569296108,1.072794171009955,1.0831752101108447,1.130832631590264,0.10439175592748651,0.9294694599435697,1.068519291307479,0.9773902561593819,0.9022854064311278,1.091511068066646,1.0225692893091936,0.8551485580058799,1.1266172800229923,0.95629367515548,1.0422944836114854,0.8707428929693929,1.1252838043158848,dv_ttm,
"{'ffreq': '10', 'sfreq': '5'}",apo,1.2163417159466217,1.088449145758223,1.0896751028007297,1.1354389991478777,1.1276304191100706,1.1073320188932867,1.0760911486739715,1.079240991779589,1.1334508145911577,0.0975037141040167,0.9294694599435697,1.068519291307479,0.9773902561593819,0.9022854064311278,1.091511068066646,1.0225692893091936,0.8551485580058799,1.1266172800229923,0.95629367515548,1.0422944836114854,0.8707428929693929,1.1252838043158848,dv_ttm,
