args,deri,fgain2,fgain2_o0,fgain2_o1,fgain2_o2,fgain2_o3,"fgain2_p(0, 0.18)","fgain2_p(0.18, 0.5)","fgain2_p(0.5, 0.82)","fgain2_p(0.82, 1)",fgain2_pearson,fgain2_trend100,fgain2_trend101,fgain2_trend20,fgain2_trend200,fgain2_trend201,fgain2_trend21,fgain2_trend2400,fgain2_trend2401,fgain2_trend50,fgain2_trend51,fgain2_trend600,fgain2_trend601,ibase
"{'ffreq': '10', 'sfreq': '10'}",apo,1.0012556299487663,1.0000330024943296,,1.0000330024943296,,1.0000330024943296,1.0000330024943296,1.0000330024943296,1.0000330024943296,,0.9883028379207892,1.0110756697660228,0.9894199672631655,0.9905475337590308,1.0091257091637855,1.0105915708127193,0.993708206140692,1.0042676139748443,0.9865809264505364,1.0129448629179598,0.9929284191855056,1.0069299648437338,close
"{'ffreq': '10', 'sfreq': '2'}",apo,1.0012556299487663,1.0003735315145925,0.9989822286948523,0.9952328001064664,0.9897345533003821,0.9986170585149526,0.999861914209713,1.0013131148174108,0.9994952263277027,0.004246493149081738,0.9883028379207892,1.0110756697660228,0.9894199672631655,0.9905475337590308,1.0091257091637855,1.0105915708127193,0.993708206140692,1.0042676139748443,0.9865809264505364,1.0129448629179598,0.9929284191855056,1.0069299648437338,close
"{'ffreq': '10', 'sfreq': '5'}",apo,1.0012556299487663,1.0002279314150626,0.9992979499420492,0.9976691329052022,0.9879030620395677,0.9999862730168823,0.9998598727770749,1.0003788870385952,0.9998145021845252,-0.009480550777167729,0.9883028379207892,1.0110756697660228,0.9894199672631655,0.9905475337590308,1.0091257091637855,1.0105915708127193,0.993708206140692,1.0042676139748443,0.9865809264505364,1.0129448629179598,0.9929284191855056,1.0069299648437338,close
"{'ffreq': '2', 'sfreq': '10'}",apo,1.0012556299487663,1.0003735315145925,0.9989822286948523,0.9952328001064664,0.9897345533003821,0.9986170585149526,0.999861914209713,1.0013131148174108,0.9994952263277027,0.004246493149081738,0.9883028379207892,1.0110756697660228,0.9894199672631655,0.9905475337590308,1.0091257091637855,1.0105915708127193,0.993708206140692,1.0042676139748443,0.9865809264505364,1.0129448629179598,0.9929284191855056,1.0069299648437338,close
"{'ffreq': '2', 'sfreq': '2'}",apo,1.0012556299487663,1.0000085138598862,,1.0000085138598862,,1.0000085138598862,1.0000085138598862,1.0000085138598862,1.0000085138598862,,0.9883028379207892,1.0110756697660228,0.9894199672631655,0.9905475337590308,1.0091257091637855,1.0105915708127193,0.993708206140692,1.0042676139748443,0.9865809264505364,1.0129448629179598,0.9929284191855056,1.0069299648437338,close
"{'ffreq': '2', 'sfreq': '5'}",apo,1.0012556299487663,1.0003381153874764,0.9996627489075632,0.9935701632072681,0.9876481260534112,0.9975028256534291,1.0001347167580366,1.0011261480579097,1.0003298144091906,0.020212714678816916,0.9883028379207892,1.0110756697660228,0.9894199672631655,0.9905475337590308,1.0091257091637855,1.0105915708127193,0.993708206140692,1.0042676139748443,0.9865809264505364,1.0129448629179598,0.9929284191855056,1.0069299648437338,close
"{'ffreq': '5', 'sfreq': '10'}",apo,1.0012556299487663,1.0002279314150626,0.9992979499420492,0.9976691329052022,0.9879030620395677,0.9999862730168823,0.9998598727770749,1.0003788870385952,0.9998145021845252,-0.009480550777167729,0.9883028379207892,1.0110756697660228,0.9894199672631655,0.9905475337590308,1.0091257091637855,1.0105915708127193,0.993708206140692,1.0042676139748443,0.9865809264505364,1.0129448629179598,0.9929284191855056,1.0069299648437338,close
"{'ffreq': '5', 'sfreq': '2'}",apo,1.0012556299487663,1.0003381153874764,0.9996627489075632,0.9935701632072681,0.9876481260534112,0.9975028256534291,1.0001347167580366,1.0011261480579097,1.0003298144091906,0.020212714678816916,0.9883028379207892,1.0110756697660228,0.9894199672631655,0.9905475337590308,1.0091257091637855,1.0105915708127193,0.993708206140692,1.0042676139748443,0.9865809264505364,1.0129448629179598,0.9929284191855056,1.0069299648437338,close
"{'ffreq': '5', 'sfreq': '5'}",apo,1.0012556299487663,1.0000150678263349,,1.0000150678263349,,1.0000150678263349,1.0000150678263349,1.0000150678263349,1.0000150678263349,,0.9883028379207892,1.0110756697660228,0.9894199672631655,0.9905475337590308,1.0091257091637855,1.0105915708127193,0.993708206140692,1.0042676139748443,0.9865809264505364,1.0129448629179598,0.9929284191855056,1.0069299648437338,close
"{'ffreq': '10', 'sfreq': '10'}",cmo,1.0012556299487663,,,,,,,,,,,,,,,,,,,,,,close
"{'ffreq': '10', 'sfreq': '2'}",cmo,1.0012556299487663,,,,,,,,,,,,,,,,,,,,,,close
"{'ffreq': '10', 'sfreq': '5'}",cmo,1.0012556299487663,,,,,,,,,,,,,,,,,,,,,,close
"{'ffreq': '2', 'sfreq': '10'}",cmo,1.0012556299487663,,,,,,,,,,,,,,,,,,,,,,close
"{'ffreq': '2', 'sfreq': '2'}",cmo,1.0012556299487663,,,,,,,,,,,,,,,,,,,,,,close
"{'ffreq': '2', 'sfreq': '5'}",cmo,1.0012556299487663,,,,,,,,,,,,,,,,,,,,,,close
"{'ffreq': '5', 'sfreq': '10'}",cmo,1.0012556299487663,,,,,,,,,,,,,,,,,,,,,,close
"{'ffreq': '5', 'sfreq': '2'}",cmo,1.0012556299487663,,,,,,,,,,,,,,,,,,,,,,close
"{'ffreq': '5', 'sfreq': '5'}",cmo,1.0012556299487663,,,,,,,,,,,,,,,,,,,,,,close
{'freq': '10'},mom,1.0012556299487663,1.0002437807446691,0.9993996970543129,0.9967731524380956,0.989818390710073,0.9985689790077055,0.9993746605748746,1.0014779215629137,1.0001416507553191,0.002113216087239645,0.9883028379207892,1.0110756697660228,0.9894199672631655,0.9905475337590308,1.0091257091637855,1.0105915708127193,0.993708206140692,1.0042676139748443,0.9865809264505364,1.0129448629179598,0.9929284191855056,1.0069299648437338,close
{'freq': '2'},mom,1.0012556299487663,1.000161250693938,1.0003241332539712,0.9949432173149797,0.9948492306979756,0.9983174040035754,0.9999563508986055,1.0003377341649569,1.0011630267473688,0.024418611228766558,0.9883028379207892,1.0110756697660228,0.9894199672631655,0.9905475337590308,1.0091257091637855,1.0105915708127193,0.993708206140692,1.0042676139748443,0.9865809264505364,1.0129448629179598,0.9929284191855056,1.0069299648437338,close
{'freq': '20'},mom,1.0012556299487663,1.000285473524401,0.9997798311405566,0.9976843478725045,1.0055418585549765,0.9989731421335157,0.9997399142984226,1.0010169196306986,0.9998410673376806,-0.011710678363253488,0.9883028379207892,1.0110756697660228,0.9894199672631655,0.9905475337590308,1.0091257091637855,1.0105915708127193,0.993708206140692,1.0042676139748443,0.9865809264505364,1.0129448629179598,0.9929284191855056,1.0069299648437338,close
{'freq': '240'},mom,1.0012556299487663,0.9994771187761503,1.0012970447189695,0.9996516291440305,0.9962748694839534,1.0014737182083537,1.0008764607518938,1.0005699684324332,0.9960170650000643,-0.05412895358809409,0.9883028379207892,1.0110756697660228,0.9894199672631655,0.9905475337590308,1.0091257091637855,1.0105915708127193,0.993708206140692,1.0042676139748443,0.9865809264505364,1.0129448629179598,0.9929284191855056,1.0069299648437338,close
{'freq': '5'},mom,1.0012556299487663,1.000248415780076,1.000167187668933,0.9907435177754735,0.9901147605277059,0.9985824205942343,1.000336945424243,1.0010140591976795,0.9990795787155323,0.002540888719683757,0.9883028379207892,1.0110756697660228,0.9894199672631655,0.9905475337590308,1.0091257091637855,1.0105915708127193,0.993708206140692,1.0042676139748443,0.9865809264505364,1.0129448629179598,0.9929284191855056,1.0069299648437338,close
{'freq': '60'},mom,1.0012556299487663,0.9999791086686548,1.001247814196747,0.9991186146317492,0.9973480846621188,1.0006383839589958,1.0006297208495212,1.0002234085432467,0.9981831189132239,-0.03178412336127999,0.9883028379207892,1.0110756697660228,0.9894199672631655,0.9905475337590308,1.0091257091637855,1.0105915708127193,0.993708206140692,1.0042676139748443,0.9865809264505364,1.0129448629179598,0.9929284191855056,1.0069299648437338,close
{'freq': '10'},rocr,1.0012556299487663,0.9996508404129404,1.003251283700325,1.001623217035447,0.9981367652044805,0.9993239863836121,0.9989139570194936,1.000957513188828,1.0011188170804624,0.0017755121480724017,0.9883028379207892,1.0110756697660228,0.9894199672631655,0.9905475337590308,1.0091257091637855,1.0105915708127193,0.993708206140692,1.0042676139748443,0.9865809264505364,1.0129448629179598,0.9929284191855056,1.0069299648437338,close
{'freq': '2'},rocr,1.0012556299487663,0.9996486611718751,0.999484132835962,0.9980337090265072,1.0073797194548424,0.999252118573774,0.9994170907302009,0.9998942613669835,1.0020105845352913,0.024044310013416947,0.9883028379207892,1.0110756697660228,0.9894199672631655,0.9905475337590308,1.0091257091637855,1.0105915708127193,0.993708206140692,1.0042676139748443,0.9865809264505364,1.0129448629179598,0.9929284191855056,1.0069299648437338,close
