args,deri,fgain10,fgain10_o0,fgain10_o1,fgain10_o2,fgain10_o3,"fgain10_p(0, 0.18)","fgain10_p(0.18, 0.5)","fgain10_p(0.5, 0.82)","fgain10_p(0.82, 1)",fgain10_pearson,fgain10_trend100,fgain10_trend101,fgain10_trend20,fgain10_trend200,fgain10_trend201,fgain10_trend21,fgain10_trend2400,fgain10_trend2401,fgain10_trend50,fgain10_trend51,fgain10_trend600,fgain10_trend601,ibase,ts_code
"{'ffreq': '10', 'sfreq': '10'}",apo,1.0067218325708847,1.0000187664028255,,1.0000187664028255,,1.0000187664028255,1.0000187664028255,1.0000187664028255,1.0000187664028255,,0.9648528850976933,1.0331379531618978,0.9874383131790649,0.9647809573478684,1.0337633799286368,1.0125967592303897,0.9749186530740127,1.0179230619976685,0.9724676226105706,1.026491698039985,0.9716490574482618,1.028566319324973,close,
"{'ffreq': '10', 'sfreq': '2'}",apo,1.0067218325708847,1.0009934776059426,0.9965276769776418,0.9904527490714807,0.961094882994107,0.9968214212738309,0.9988667707136702,1.00288955308219,1.0000602868024282,-0.005872041418780586,0.9648528850976933,1.0331379531618978,0.9874383131790649,0.9647809573478684,1.0337633799286368,1.0125967592303897,0.9749186530740127,1.0179230619976685,0.9724676226105706,1.026491698039985,0.9716490574482618,1.028566319324973,close,
"{'ffreq': '10', 'sfreq': '5'}",apo,1.0067218325708847,1.0009086048486349,0.996057245377335,0.9916993655889936,0.9652334408194787,0.9968210683674014,0.9994222674389335,1.0024556576786905,1.0000315810654152,-0.008331269773248913,0.9648528850976933,1.0331379531618978,0.9874383131790649,0.9647809573478684,1.0337633799286368,1.0125967592303897,0.9749186530740127,1.0179230619976685,0.9724676226105706,1.026491698039985,0.9716490574482618,1.028566319324973,close,
"{'ffreq': '2', 'sfreq': '10'}",apo,1.0067218325708847,1.0009934776059426,0.9965276769776418,0.9904527490714807,0.961094882994107,0.9968214212738309,0.9988667707136702,1.00288955308219,1.0000602868024282,-0.005872041418780586,0.9648528850976933,1.0331379531618978,0.9874383131790649,0.9647809573478684,1.0337633799286368,1.0125967592303897,0.9749186530740127,1.0179230619976685,0.9724676226105706,1.026491698039985,0.9716490574482618,1.028566319324973,close,
"{'ffreq': '2', 'sfreq': '2'}",apo,1.0067218325708847,1.0000163485703775,,1.0000163485703775,,1.0000163485703775,1.0000163485703775,1.0000163485703775,1.0000163485703775,,0.9648528850976933,1.0331379531618978,0.9874383131790649,0.9647809573478684,1.0337633799286368,1.0125967592303897,0.9749186530740127,1.0179230619976685,0.9724676226105706,1.026491698039985,0.9716490574482618,1.028566319324973,close,
"{'ffreq': '2', 'sfreq': '5'}",apo,1.0067218325708847,1.0007647900434733,1.0010737831612075,0.9836097178786943,0.9502090474839251,0.99612007176823,0.9998851113100469,1.0021679123080953,1.0002562816894784,0.0015648911361720809,0.9648528850976933,1.0331379531618978,0.9874383131790649,0.9647809573478684,1.0337633799286368,1.0125967592303897,0.9749186530740127,1.0179230619976685,0.9724676226105706,1.026491698039985,0.9716490574482618,1.028566319324973,close,
"{'ffreq': '5', 'sfreq': '10'}",apo,1.0067218325708847,1.0009086048486349,0.996057245377335,0.9916993655889936,0.9652334408194787,0.9968210683674014,0.9994222674389335,1.0024556576786905,1.0000315810654152,-0.008331269773248913,0.9648528850976933,1.0331379531618978,0.9874383131790649,0.9647809573478684,1.0337633799286368,1.0125967592303897,0.9749186530740127,1.0179230619976685,0.9724676226105706,1.026491698039985,0.9716490574482618,1.028566319324973,close,
"{'ffreq': '5', 'sfreq': '2'}",apo,1.0067218325708847,1.0007647900434733,1.0010737831612075,0.9836097178786943,0.9502090474839251,0.99612007176823,0.9998851113100469,1.0021679123080953,1.0002562816894784,0.0015648911361720809,0.9648528850976933,1.0331379531618978,0.9874383131790649,0.9647809573478684,1.0337633799286368,1.0125967592303897,0.9749186530740127,1.0179230619976685,0.9724676226105706,1.026491698039985,0.9716490574482618,1.028566319324973,close,
"{'ffreq': '5', 'sfreq': '5'}",apo,1.0067218325708847,1.0000390721942796,,1.0000390721942796,,1.0000390721942796,1.0000390721942796,1.0000390721942796,1.0000390721942796,,0.9648528850976933,1.0331379531618978,0.9874383131790649,0.9647809573478684,1.0337633799286368,1.0125967592303897,0.9749186530740127,1.0179230619976685,0.9724676226105706,1.026491698039985,0.9716490574482618,1.028566319324973,close,
"{'ffreq': '10', 'sfreq': '10'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
"{'ffreq': '10', 'sfreq': '2'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
"{'ffreq': '10', 'sfreq': '5'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
"{'ffreq': '2', 'sfreq': '10'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
"{'ffreq': '2', 'sfreq': '2'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
"{'ffreq': '2', 'sfreq': '5'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
"{'ffreq': '5', 'sfreq': '10'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
"{'ffreq': '5', 'sfreq': '2'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
"{'ffreq': '5', 'sfreq': '5'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
{'freq': '10'},mom,1.0067218325708847,1.000967011238346,0.9988216898159249,0.9776278312817986,0.9891879061064989,0.9950281137970272,0.999128798560153,1.0044820928983762,0.9986038077930225,-0.009236337323521143,0.9648528850976933,1.0331379531618978,0.9874383131790649,0.9647809573478684,1.0337633799286368,1.0125967592303897,0.9749186530740127,1.0179230619976685,0.9724676226105706,1.026491698039985,0.9716490574482618,1.028566319324973,close,
{'freq': '2'},mom,1.0067218325708847,1.0002273984539922,0.9994342694311104,0.9792114326014786,0.9501853743207742,0.9967036130441375,1.0002695704889304,1.00138608429253,1.0002831367716334,0.004404965030217676,0.9648528850976933,1.0331379531618978,0.9874383131790649,0.9647809573478684,1.0337633799286368,1.0125967592303897,0.9749186530740127,1.0179230619976685,0.9724676226105706,1.026491698039985,0.9716490574482618,1.028566319324973,close,
{'freq': '20'},mom,1.0067218325708847,1.0007687240843897,1.0047955059701839,0.9795080773766983,1.00992473682483,1.0012845929542908,1.000020993292395,1.0023555403714028,0.9956473312454012,-0.0581948806198017,0.9648528850976933,1.0331379531618978,0.9874383131790649,0.9647809573478684,1.0337633799286368,1.0125967592303897,0.9749186530740127,1.0179230619976685,0.9724676226105706,1.026491698039985,0.9716490574482618,1.028566319324973,close,
