args,deri,fgain60,fgain60_o0,fgain60_o1,fgain60_o2,fgain60_o3,"fgain60_p(0, 0.18)","fgain60_p(0.18, 0.5)","fgain60_p(0.5, 0.82)","fgain60_p(0.82, 1)",fgain60_pearson,fgain60_trend100,fgain60_trend101,fgain60_trend20,fgain60_trend200,fgain60_trend201,fgain60_trend21,fgain60_trend2400,fgain60_trend2401,fgain60_trend50,fgain60_trend51,fgain60_trend600,fgain60_trend601,ibase,ts_code
"{'ffreq': '10', 'sfreq': '10'}",apo,1.0427723154220168,1.0002573760978026,,1.0002573760978026,,1.0002573760978026,1.0002573760978026,1.0002573760978026,1.0002573760978026,,0.9612147248325471,1.0356399510467977,0.9868497940672195,0.9447627253350868,1.0508923911788959,1.0126936446554855,0.9122474111445367,1.0679020399243226,0.9734792194314704,1.0252593898987024,0.9285097976053124,1.0713388502877776,close,
"{'ffreq': '10', 'sfreq': '2'}",apo,1.0427723154220168,1.0064812633588744,0.9708236400658591,0.9103372403880162,0.861153259837096,0.9822524641901871,1.0125299301443016,1.0148096401449547,0.971460043077484,-0.061957258330133984,0.9612147248325471,1.0356399510467977,0.9868497940672195,0.9447627253350868,1.0508923911788959,1.0126936446554855,0.9122474111445367,1.0679020399243226,0.9734792194314704,1.0252593898987024,0.9285097976053124,1.0713388502877776,close,
"{'ffreq': '10', 'sfreq': '5'}",apo,1.0427723154220168,1.0062473858780137,0.9689115006137325,0.9100937008877402,0.8802954253054565,0.982891089159174,1.015307958011099,1.0109562747704928,0.9724838751978673,-0.06291759116034962,0.9612147248325471,1.0356399510467977,0.9868497940672195,0.9447627253350868,1.0508923911788959,1.0126936446554855,0.9122474111445367,1.0679020399243226,0.9734792194314704,1.0252593898987024,0.9285097976053124,1.0713388502877776,close,
"{'ffreq': '2', 'sfreq': '10'}",apo,1.0427723154220168,1.0064812633588744,0.9708236400658591,0.9103372403880162,0.861153259837096,0.9822524641901871,1.0125299301443016,1.0148096401449547,0.971460043077484,-0.061957258330133984,0.9612147248325471,1.0356399510467977,0.9868497940672195,0.9447627253350868,1.0508923911788959,1.0126936446554855,0.9122474111445367,1.0679020399243226,0.9734792194314704,1.0252593898987024,0.9285097976053124,1.0713388502877776,close,
"{'ffreq': '2', 'sfreq': '2'}",apo,1.0427723154220168,1.0000290970998398,,1.0000290970998398,,1.0000290970998398,1.0000290970998398,1.0000290970998398,1.0000290970998398,,0.9612147248325471,1.0356399510467977,0.9868497940672195,0.9447627253350868,1.0508923911788959,1.0126936446554855,0.9122474111445367,1.0679020399243226,0.9734792194314704,1.0252593898987024,0.9285097976053124,1.0713388502877776,close,
"{'ffreq': '2', 'sfreq': '5'}",apo,1.0427723154220168,1.0059727922197408,0.9754822457899948,0.8994721537382228,0.845940789747019,0.9765320220499717,1.0139010610711197,1.0136193990895606,0.9762201197658195,-0.03956523059588054,0.9612147248325471,1.0356399510467977,0.9868497940672195,0.9447627253350868,1.0508923911788959,1.0126936446554855,0.9122474111445367,1.0679020399243226,0.9734792194314704,1.0252593898987024,0.9285097976053124,1.0713388502877776,close,
"{'ffreq': '5', 'sfreq': '10'}",apo,1.0427723154220168,1.0062473858780137,0.9689115006137325,0.9100937008877402,0.8802954253054565,0.982891089159174,1.015307958011099,1.0109562747704928,0.9724838751978673,-0.06291759116034962,0.9612147248325471,1.0356399510467977,0.9868497940672195,0.9447627253350868,1.0508923911788959,1.0126936446554855,0.9122474111445367,1.0679020399243226,0.9734792194314704,1.0252593898987024,0.9285097976053124,1.0713388502877776,close,
"{'ffreq': '5', 'sfreq': '2'}",apo,1.0427723154220168,1.0059727922197408,0.9754822457899948,0.8994721537382228,0.845940789747019,0.9765320220499717,1.0139010610711197,1.0136193990895606,0.9762201197658195,-0.03956523059588054,0.9612147248325471,1.0356399510467977,0.9868497940672195,0.9447627253350868,1.0508923911788959,1.0126936446554855,0.9122474111445367,1.0679020399243226,0.9734792194314704,1.0252593898987024,0.9285097976053124,1.0713388502877776,close,
"{'ffreq': '5', 'sfreq': '5'}",apo,1.0427723154220168,1.0001139402608805,,1.0001139402608805,,1.0001139402608805,1.0001139402608805,1.0001139402608805,1.0001139402608805,,0.9612147248325471,1.0356399510467977,0.9868497940672195,0.9447627253350868,1.0508923911788959,1.0126936446554855,0.9122474111445367,1.0679020399243226,0.9734792194314704,1.0252593898987024,0.9285097976053124,1.0713388502877776,close,
"{'ffreq': '10', 'sfreq': '10'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
