args,deri,fgain20,fgain20_o0,fgain20_o1,fgain20_o2,fgain20_o3,"fgain20_p(0, 0.18)","fgain20_p(0.18, 0.5)","fgain20_p(0.5, 0.82)","fgain20_p(0.82, 1)",fgain20_pearson,fgain20_trend100,fgain20_trend101,fgain20_trend20,fgain20_trend200,fgain20_trend201,fgain20_trend21,fgain20_trend2400,fgain20_trend2401,fgain20_trend50,fgain20_trend51,fgain20_trend600,fgain20_trend601,ibase,ts_code
"{'ffreq': '10', 'sfreq': '10'}",apo,1.0143995201834166,1.0001713339967329,,1.0001713339967329,,1.0001713339967329,1.0001713339967329,1.0001713339967329,1.0001713339967329,,0.9594496047642718,1.0387525661873933,0.9862708398607852,0.9507485515010142,1.0471634087630661,1.0137101210322899,0.961327634569698,1.0309892615171896,0.9719131108775748,1.0272067263027778,0.9574318042983576,1.0464302881723573,close,
"{'ffreq': '10', 'sfreq': '2'}",apo,1.0143995201834166,1.0025527918329427,0.9901870525210721,0.9677886778189612,0.9285028480336696,0.9961370414812692,0.9987634219735569,1.0071749057245973,0.9943085143386102,-0.0351067994635963,0.9594496047642718,1.0387525661873933,0.9862708398607852,0.9507485515010142,1.0471634087630661,1.0137101210322899,0.961327634569698,1.0309892615171896,0.9719131108775748,1.0272067263027778,0.9574318042983576,1.0464302881723573,close,
"{'ffreq': '10', 'sfreq': '5'}",apo,1.0143995201834166,1.0022963112808458,0.9903878787866832,0.9753045970701701,0.9378275748271352,0.9970329013382278,1.0001434480191893,1.0057530049870038,0.993812916261616,-0.041726539530199364,0.9594496047642718,1.0387525661873933,0.9862708398607852,0.9507485515010142,1.0471634087630661,1.0137101210322899,0.961327634569698,1.0309892615171896,0.9719131108775748,1.0272067263027778,0.9574318042983576,1.0464302881723573,close,
"{'ffreq': '2', 'sfreq': '10'}",apo,1.0143995201834166,1.0025527918329427,0.9901870525210721,0.9677886778189612,0.9285028480336696,0.9961370414812692,0.9987634219735569,1.0071749057245973,0.9943085143386102,-0.0351067994635963,0.9594496047642718,1.0387525661873933,0.9862708398607852,0.9507485515010142,1.0471634087630661,1.0137101210322899,0.961327634569698,1.0309892615171896,0.9719131108775748,1.0272067263027778,0.9574318042983576,1.0464302881723573,close,
"{'ffreq': '2', 'sfreq': '2'}",apo,1.0143995201834166,1.0000147149046263,,1.0000147149046263,,1.0000147149046263,1.0000147149046263,1.0000147149046263,1.0000147149046263,,0.9594496047642718,1.0387525661873933,0.9862708398607852,0.9507485515010142,1.0471634087630661,1.0137101210322899,0.961327634569698,1.0309892615171896,0.9719131108775748,1.0272067263027778,0.9574318042983576,1.0464302881723573,close,
"{'ffreq': '2', 'sfreq': '5'}",apo,1.0143995201834166,1.001732044154018,0.997732681540395,0.9527211807222207,0.9187698184107381,0.9921208385705461,1.000844603802243,1.0059641318151213,0.9958962910562685,-0.01307955364630269,0.9594496047642718,1.0387525661873933,0.9862708398607852,0.9507485515010142,1.0471634087630661,1.0137101210322899,0.961327634569698,1.0309892615171896,0.9719131108775748,1.0272067263027778,0.9574318042983576,1.0464302881723573,close,
"{'ffreq': '5', 'sfreq': '10'}",apo,1.0143995201834166,1.0022963112808458,0.9903878787866832,0.9753045970701701,0.9378275748271352,0.9970329013382278,1.0001434480191893,1.0057530049870038,0.993812916261616,-0.041726539530199364,0.9594496047642718,1.0387525661873933,0.9862708398607852,0.9507485515010142,1.0471634087630661,1.0137101210322899,0.961327634569698,1.0309892615171896,0.9719131108775748,1.0272067263027778,0.9574318042983576,1.0464302881723573,close,
"{'ffreq': '5', 'sfreq': '2'}",apo,1.0143995201834166,1.001732044154018,0.997732681540395,0.9527211807222207,0.9187698184107381,0.9921208385705461,1.000844603802243,1.0059641318151213,0.9958962910562685,-0.01307955364630269,0.9594496047642718,1.0387525661873933,0.9862708398607852,0.9507485515010142,1.0471634087630661,1.0137101210322899,0.961327634569698,1.0309892615171896,0.9719131108775748,1.0272067263027778,0.9574318042983576,1.0464302881723573,close,
"{'ffreq': '5', 'sfreq': '5'}",apo,1.0143995201834166,1.0000451456849873,,1.0000451456849873,,1.0000451456849873,1.0000451456849873,1.0000451456849873,1.0000451456849873,,0.9594496047642718,1.0387525661873933,0.9862708398607852,0.9507485515010142,1.0471634087630661,1.0137101210322899,0.961327634569698,1.0309892615171896,0.9719131108775748,1.0272067263027778,0.9574318042983576,1.0464302881723573,close,
"{'ffreq': '10', 'sfreq': '10'}",cmo,,,,,,,,,,,,,,,,,,,,,,,close,
